Name,Thickness,Camber
e63,0.042691,0.053929
e635,0.116539,0.028525
e636,0.11899,0.032154
e637,0.121096,0.036955
e638,0.123563,0.041868
e639,0.125612,0.047802
e64,0.084568,0.03318
e642,0.150798,0.030946
e654,0.172186,0.048293
e655,0.173483,0.040011
e656,0.162194,0.048293
e657,0.155841,0.046695
e66,0.101421,0.040422
e662,0.150238,0.041015
e664,0.16631,0.027197
e664ex,0.166342,0.042953
e668,0.139094,0.039696
e67,0.116285,0.036649
e678,0.150815,0.052061
e68,0.131125,0.033383
e682,0.153198,0.029888
e694,0.154579,0.049345
e71,0.051714,0.046133
e715,0.1507,0.027718
e748,0.197458,0.046068
e793,0.156437,0.041321
e817,0.109861,0.028885
e818,0.093706,0.028018
e836,0.126558,0.000165
e837,0.16106,0.000173
e838,0.184139,0.000176
e850,0.079951,0.018273
e851,0.090291,0.023405
e852,0.100882,0.027655
e853,0.116287,0.030931
e854,0.134231,0.032866
e855,0.157248,0.037627
e856,0.181803,0.042508
e857,0.203781,0.04669
e858,0.227457,0.048007
e862,0.323737,0.000203
e863,0.357799,0.000217
e864,0.389005,0.0007
e874,0.079066,0.009463
e904,0.08999,0.013468
e908,0.090081,0.027667
ea61009,0.09014,0.000197
ea61012,0.120406,0.000216
ea81006,0.060262,0.000172
ec863914,0.142892,0.043944
esa40,0.107246,0.01981
falcon56mk2,0.136784,0.016334
fauvel,0.139871,0.026052
fx049915,0.149177,0.058904
fx05188,0.188602,0.0263
fx05191,0.191563,0.02631
fx057816,0.162192,0.051639
fx05h126,0.126174,0.044014
fx082512,0.118017,0.04178
fx08s176,0.176197,0.056655
fx2,0.204828,0.03817
fx3,0.200199,0.042218
fx38153,0.155422,0.02135
fx60100,0.099927,0.035504
fx601001,0.101221,0.036015
fx60100sm,0.099803,0.034767
fx60126,0.125934,0.03551
fx601261,0.125936,0.040335
fx60157,0.156765,0.027037
fx60160,0.156519,0.030838
fx60177,0.177291,0.027063
fx61140,0.139832,0.02448
